name,population,median_income,state,place
"Krupp (Marlin) town, Washington",35,61667,53,36395
"La Center city, Washington",3471,91375,53,36710
"Lacey city, Washington",52572,75059,53,36745
"La Conner town, Washington",1061,53819,53,36780
"LaCrosse town, Washington",387,29004,53,36850
"La Grande CDP, Washington",270,218274,53,36920
"Lake Bosworth CDP, Washington",980,117083,53,37077
"Lake Cassidy CDP, Washington",2774,98500,53,37100
"Lake Cavanaugh CDP, Washington",276,-666666666,53,37105
"Lake Forest Park city, Washington",13529,139881,53,37270
"Lake Goodwin CDP, Washington",5019,100440,53,37287
"Lake Holm CDP, Washington",3293,109421,53,37345
"Lake Ketchum CDP, Washington",1373,76328,53,37415
"Lakeland North CDP, Washington",14161,98075,53,37420
"Lakeland South CDP, Washington",12696,83269,53,37430
"Lake McMurray CDP, Washington",412,79118,53,37526
"Lake Marcel-Stillwater CDP, Washington",1465,153750,53,37538
"Lake Morton-Berrydale CDP, Washington",10709,107136,53,37567
"Lake Roesiger CDP, Washington",835,103230,53,37672
"Lake Shore CDP, Washington",7169,127292,53,37830
"Lake Stevens city, Washington",35135,99296,53,37900
"Lake Stickney CDP, Washington",14733,77700,53,37917
"Lake Tapps CDP, Washington",12570,119626,53,37920
"Lakeview CDP, Washington",1449,63068,53,37926
"Lakewood city, Washington",62972,60534,53,38038
"Lamont town, Washington",105,-666666666,53,38215
"Langley city, Washington",1194,67143,53,38355
"Larch Way CDP, Washington",4030,112667,53,38420
"Latah town, Washington",180,46563,53,38495
"Laurier CDP, Washington",0,-666666666,53,38705
"Leavenworth city, Washington",2395,60982,53,38845
"Lebam CDP, Washington",120,-666666666,53,38880
"Lewisville CDP, Washington",2414,107417,53,39212
"Lexington CDP, Washington",4347,76941,53,39230
"Liberty Lake city, Washington",11647,96169,53,39335
"Lind town, Washington",486,60938,53,39510
"Lochsloy CDP, Washington",2937,93374,53,39860
"Lofall CDP, Washington",2066,103250,53,39930
"Long Beach city, Washington",1925,41250,53,40070
"Longbranch CDP, Washington",4256,66715,53,40105
"Longview city, Washington",37542,53044,53,40245
"Longview Heights CDP, Washington",4377,85427,53,40270
"Loomis CDP, Washington",35,70972,53,40350
"Loon Lake CDP, Washington",809,61731,53,40385
"Lower Elochoman CDP, Washington",427,114063,53,40570
"Lyle CDP, Washington",269,26279,53,40735
"Lyman town, Washington",348,98125,53,40770
"Lynden city, Washington",15410,78004,53,40805
"Lynnwood city, Washington",38812,67576,53,40840
"Mabton city, Washington",2198,60365,53,40980
"McChord AFB CDP, Washington",3191,50086,53,41155
"McCleary city, Washington",2181,60221,53,41225
"Machias CDP, Washington",1239,110972,53,41470
"McKenna CDP, Washington",498,-666666666,53,41645
"McMillin CDP, Washington",1077,88438,53,41785
"Malden town, Washington",197,40455,53,42275
"Malo CDP, Washington",26,-666666666,53,42310
"Malone CDP, Washington",303,92125,53,42345
"Malott CDP, Washington",654,-666666666,53,42380
"Maltby CDP, Washington",11458,151321,53,42415
"Manchester CDP, Washington",5928,91750,53,42450
"Mansfield town, Washington",331,39688,53,42800
"Manson CDP, Washington",1294,51000,53,42835
"Maple Falls CDP, Washington",239,29759,53,43010
"Maple Heights-Lake Desire CDP, Washington",3370,119400,53,43062
"Maple Valley city, Washington",27643,125092,53,43150
"Maplewood CDP, Washington",5636,115335,53,43255
"Marblemount CDP, Washington",167,-666666666,53,43325
"Marcus town, Washington",158,35000,53,43395
"Marietta-Alderwood CDP, Washington",3702,70288,53,43491
"Marine View CDP, Washington",347,52946,53,43552
"Markham CDP, Washington",144,58813,53,43640
"Marrowstone CDP, Washington",924,81125,53,43762
"Martha Lake CDP, Washington",22251,116927,53,43815
"Maryhill CDP, Washington",46,-666666666,53,43885
"Marysville city, Washington",69957,89008,53,43955
"Mattawa city, Washington",3529,45938,53,44165
"May Creek CDP, Washington",747,61700,53,44260
"Mead CDP, Washington",7146,73385,53,44480
"Meadowdale CDP, Washington",3065,125441,53,44585
"Meadow Glade CDP, Washington",2606,121130,53,44620
"Medical Lake city, Washington",4832,76829,53,44690
"Medina city, Washington",2928,208500,53,44725
"Mercer Island city, Washington",25506,170000,53,45005
"Mesa city, Washington",729,70781,53,45180
"Metaline town, Washington",148,66250,53,45285
"Metaline Falls town, Washington",247,26719,53,45320
"Methow CDP, Washington",137,-666666666,53,45355
"Midland CDP, Washington",9448,54852,53,45495
"Mill Creek city, Washington",20665,112072,53,45865
"Mill Creek East CDP, Washington",25528,161684,53,45870
"Millwood city, Washington",1896,61563,53,45985
"Milton city, Washington",8501,81690,53,46020
"Mineral CDP, Washington",100,19750,53,46090
"Minnehaha CDP, Washington",11508,88696,53,46125
"Mirrormont CDP, Washington",4196,149479,53,46215
"Moclips CDP, Washington",43,-666666666,53,46405
"Monroe city, Washington",19879,94349,53,46685
"Monroe North CDP, Washington",2037,169375,53,46725
"Montesano city, Washington",4070,58083,53,46895
"Morton city, Washington",1193,43643,53,47175
"Moses Lake city, Washington",24764,63828,53,47245
"Moses Lake North CDP, Washington",4796,54323,53,47280
"Mossyrock city, Washington",739,35743,53,47315
"Mountlake Terrace city, Washington",21210,87785,53,47490
"Mount Vernon city, Washington",34824,62706,53,47560
"Mount Vista CDP, Washington",9924,92854,53,47630
"Moxee city, Washington",4303,83596,53,47665
"Mukilteo city, Washington",21409,109738,53,47735
"Naches town, Washington",729,69861,53,47805
"Napavine city, Washington",1495,74191,53,47980
"Naselle CDP, Washington",523,50873,53,48015
"Navy Yard City CDP, Washington",2784,65559,53,48225
"Neah Bay CDP, Washington",1079,50250,53,48295
"Neilton CDP, Washington",299,51477,53,48330
"Nespelem town, Washington",207,46250,53,48540
"Nespelem Community CDP, Washington",355,65278,53,48550
"Newcastle city, Washington",12855,139439,53,48645
"Newport city, Washington",2064,38854,53,48820
"Nile CDP, Washington",118,29224,53,49030
"Nisqually Indian Community CDP, Washington",624,68125,53,49193
"Nooksack city, Washington",1397,67109,53,49275
"Normandy Park city, Washington",6716,113328,53,49415
"North Bend city, Washington",7393,123287,53,49485
"North Bonneville city, Washington",1177,76250,53,49555
"North Fort Lewis CDP, Washington",6229,60625,53,49765
"North Lynnwood CDP, Washington",24562,84825,53,49940
"North Omak CDP, Washington",313,40250,53,50007
"Northport town, Washington",252,28173,53,50045
"North Puyallup CDP, Washington",1846,65250,53,50115
"North Sultan CDP, Washington",242,101250,53,50183
"Northwest Stanwood CDP, Washington",85,-666666666,53,50195
"North Yelm CDP, Washington",3708,70529,53,50210
"Oakesdale town, Washington",385,56563,53,50325
"Oak Harbor city, Washington",24267,61261,53,50360
"Oakville city, Washington",674,52917,53,50430
"Ocean City CDP, Washington",189,78533,53,50500
"Ocean Park CDP, Washington",1794,60583,53,50535
"Ocean Shores city, Washington",6637,52255,53,50570
"Ocosta CDP, Washington",127,70917,53,50675
"Odessa town, Washington",899,47019,53,50745
"Okanogan city, Washington",2990,56667,53,50920
"Olympia city, Washington",54579,67975,53,51300
"Omak city, Washington",4869,49063,53,51340
"Onalaska CDP, Washington",548,35156,53,51410
"Orchards CDP, Washington",28371,81035,53,51795
"Orient CDP, Washington",66,27125,53,51830
"Oroville city, Washington",1694,32083,53,51970
"Orting city, Washington",8781,97614,53,52005
"Oso CDP, Washington",274,142847,53,52110
"Othello city, Washington",8470,58450,53,52215
"Otis Orchards-East Farms CDP, Washington",6133,79762,53,52267
"Outlook CDP, Washington",318,-666666666,53,52285
"Oyehut CDP, Washington",14,-666666666,53,52378
"Pacific city, Washington",7130,69095,53,52495
"Pacific Beach CDP, Washington",77,-666666666,53,52530
"Packwood CDP, Washington",141,31384,53,52600
"Palouse city, Washington",1008,83750,53,52950
"Parker CDP, Washington",105,43594,53,53265
"Parkland CDP, Washington",38092,62223,53,53335
"Parkwood CDP, Washington",7115,76375,53,53440
"Pasco city, Washington",76398,70486,53,53545
"Pataha CDP, Washington",70,-666666666,53,53660
"Pateros city, Washington",647,58846,53,53720
"Peaceful Valley CDP, Washington",3234,41346,53,53800
"Pe Ell town, Washington",585,54333,53,53930
"Picnic Point CDP, Washington",9755,117549,53,54213
"Pine Grove CDP, Washington",84,67721,53,54405
"Point Roberts CDP, Washington",1210,61447,53,55015
"Pomeroy city, Washington",1387,42644,53,55120
"Port Angeles city, Washington",19888,53690,53,55365
"Port Angeles East CDP, Washington",3221,55250,53,55400
"Porter CDP, Washington",111,53056,53,55540
"Port Gamble Tribal Community CDP, Washington",796,77188,53,55612
"Port Hadlock-Irondale CDP, Washington",3503,57375,53,55620
"Port Ludlow CDP, Washington",3046,76885,53,55645
"Port Orchard city, Washington",15315,75766,53,55785
"Port Townsend city, Washington",10002,54907,53,55855
"Poulsbo city, Washington",11652,79248,53,55995
"Prairie Heights CDP, Washington",4610,113214,53,56150
"Prairie Ridge CDP, Washington",12575,89928,53,56170
"Prescott city, Washington",299,50833,53,56240
"Prosser city, Washington",6061,60927,53,56450
"Puget Island CDP, Washington",1153,56929,53,56555
"Pullman city, Washington",32968,31992,53,56625
"Purdy CDP, Washington",1429,79310,53,56660
"Puyallup city, Washington",42366,81224,53,56695
"Queets CDP, Washington",145,47188,53,56905
"Quilcene CDP, Washington",521,52083,53,56975
"Qui-nai-elt Village CDP, Washington",49,87917,53,57030
"Quincy city, Washington",7630,63207,53,57115
"Raft Island CDP, Washington",369,188333,53,57140
"Rainier city, Washington",2772,88036,53,57220
"Ravensdale CDP, Washington",671,129966,53,57395
"Raymond city, Washington",3035,54375,53,57430
"Reardan town, Washington",545,39861,53,57465
"Redmond city, Washington",72166,147006,53,57535
"Renton city, Washington",105313,84374,53,57745
"Republic city, Washington",1155,42917,53,57850
"Richland city, Washington",59718,83066,53,58235
"Ridgefield city, Washington",10432,107861,53,58410
"Ritzville city, Washington",1840,49438,53,58725
"Riverbend CDP, Washington",2377,105672,53,58742
"Riverpoint CDP, Washington",875,210294,53,58768
"River Road CDP, Washington",1056,128962,53,58777
"Riverside town, Washington",436,32132,53,58795
"Roche Harbor CDP, Washington",651,91500,53,59075
"Rochester CDP, Washington",6065,83399,53,59110
"Rockford town, Washington",416,57188,53,59145
"Rock Island city, Washington",1393,50000,53,59180
"Rockport CDP, Washington",55,-666666666,53,59250
"Rocky Point CDP, Washington",1474,85729,53,59390
"Ronald CDP, Washington",158,-666666666,53,59635
"Roosevelt CDP, Washington",151,29375,53,59705
"Rosalia town, Washington",598,54375,53,59775
"Rosburg CDP, Washington",381,-666666666,53,59845
"Rosedale CDP, Washington",4421,135179,53,59880
"Roslyn city, Washington",703,63947,53,60055
"Roy city, Washington",910,77667,53,60160
"Royal City city, Washington",2270,42721,53,60230
"Ruston town, Washington",1238,108269,53,60510
"Ryderwood CDP, Washington",402,38245,53,60580
"St. John town, Washington",608,64464,53,60860
"Salmon Creek CDP, Washington",19809,86110,53,61000
"Sammamish city, Washington",66532,195648,53,61115
"Santiago CDP, Washington",76,65750,53,61235
"Satsop CDP, Washington",605,71607,53,61350
"Schwana CDP, Washington",736,66410,53,61925
"Seabeck CDP, Washington",860,100781,53,62120
"SeaTac city, Washington",30867,73540,53,62288
"Seattle city, Washington",726054,105391,53,63000
"Sedro-Woolley city, Washington",12266,66554,53,63210
"Sekiu CDP, Washington",50,-666666666,53,63245
"Selah city, Washington",8081,64468,53,63280
"Sequim city, Washington",7896,41571,53,63385
"Shadow Lake CDP, Washington",2200,113942,53,63545
"Shelton city, Washington",10288,48000,53,63735
"Shoreline city, Washington",58213,95623,53,63960
"Silvana CDP, Washington",17,-666666666,53,64190
